order_item_id,order_id,product_id,quantity,unit_price,discount,is_return,line_amount
1,1,272,3,5.69,0.15,False,14.5095
2,1,300,-1,133.29,0.15,True,-113.2965
3,1,273,1,560.24,0.0,False,560.24
4,2,11,1,216.27,0.0,False,216.27
5,2,239,3,517.8,0.15,False,1320.3899999999999
6,3,58,1,87.55,0.0,False,87.55
7,3,70,1,402.01,0.0,False,402.01
8,3,65,1,460.75,0.0,False,460.75
9,3,279,2,226.81,0.0,False,453.62
10,3,174,1,864.84,0.0,False,864.84
11,4,106,1,150.04,0.1,False,135.036
12,4,46,1,397.56,0.05,False,377.68199999999996
13,5,173,1,587.7,0.1,False,528.9300000000001
14,5,13,2,152.16,0.05,False,289.104
15,5,85,2,530.7,0.1,False,955.2600000000001
16,6,276,1,341.21,0.0,False,341.21
17,6,14,1,90.93,0.2,False,72.74400000000001
18,7,44,1,6.81,0.0,False,6.81
19,8,40,1,171.89,0.1,False,154.701
20,8,22,1,205.71,0.0,False,205.71
21,8,240,1,555.47,0.0,False,555.47
23,8,134,2,541.79,0.0,False,1083.58
24,9,194,1,222.76,0.0,False,222.76
25,10,188,1,550.0,0.0,False,550.0
26,10,22,1,205.71,0.0,False,205.71
27,10,209,1,797.01,0.0,False,797.01
28,11,270,1,34872.0,0.0,False,34872.0
29,11,25,3,282.92,0.1,False,763.884
30,11,271,1,756.22,0.0,False,756.22
31,12,91,1,369.86,0.0,False,369.86
32,12,128,1,686.4,0.0,False,686.4
33,12,271,1,756.22,0.0,False,756.22
34,12,34,1,399.8,0.0,False,399.8
35,12,88,1,275.21,0.05,False,261.44949999999994
36,13,215,2,501.1,0.0,False,1002.2
37,14,129,1,492.47,0.15,False,418.59950000000003
38,14,150,3,182.12,0.05,False,519.042
39,14,192,2,697.79,0.1,False,1256.022
40,14,207,2,518.71,0.05,False,985.549
41,14,279,1,226.81,0.0,False,226.81
42,15,144,2,299.76,0.0,False,599.52
43,15,272,1,5.69,0.15,False,4.8365
44,16,142,1,717.32,0.2,False,573.8560000000001
45,16,32,1,338.4,0.0,False,338.4
46,17,182,1,500.91,0.0,False,500.91
47,18,47,1,513.39,0.0,False,513.39
48,18,64,1,29.71,0.05,False,28.2245
50,19,40,3,171.89,0.15,False,438.31949999999995
51,19,259,1,533.22,0.2,False,426.576
52,19,49,1,850.7,0.0,False,850.7
53,19,283,1,680.49,0.0,False,680.49
54,20,172,2,104.56,0.0,False,209.12
55,20,269,3,603.81,0.0,False,1811.4299999999998
56,21,62,3,244.7,0.15,False,623.9849999999999
57,21,110,1,52.92,0.05,False,50.274
58,21,30,1,477.17,0.05,False,453.31149999999997
59,22,204,1,578.66,0.0,False,578.66
60,23,259,1,533.22,0.0,False,533.22
61,23,173,1,587.7,0.0,False,587.7
62,23,151,1,625.19,0.0,False,625.19
63,23,22,2,205.71,0.05,False,390.849
64,23,173,1,587.7,0.15,False,499.545
65,24,10,3,309.24,0.15,False,788.562
66,24,29,1,103.82,0.0,False,103.82
67,25,38,1,364.99,0.05,False,346.7405
68,25,90,2,219.22,0.0,False,438.44
69,25,27,2,686.85,0.0,False,1373.7
70,26,288,1,515.26,0.0,False,515.26
71,26,269,2,603.81,0.0,False,1207.62
72,27,230,2,829.69,0.0,False,1659.38
73,27,282,1,280.61,0.0,False,280.61
74,27,109,1,59.23,0.0,False,59.23
75,28,25,1,282.92,0.2,False,226.336
76,28,34,2,399.8,0.0,False,799.6
77,29,294,1,141.94,0.05,False,134.843
78,29,294,2,141.94,0.1,False,255.492
79,30,188,1,550.0,0.05,False,522.5
80,31,257,2,8.4,0.0,False,16.8
81,32,115,1,251.88,0.0,False,251.88
82,32,207,1,518.71,0.2,False,414.9680000000001
83,32,12,-1,156.75,0.0,True,-156.75
84,32,61,1,512.76,0.0,False,512.76
85,33,117,1,567.69,0.0,False,567.69
86,33,186,1,290.81,0.15,False,247.1885
87,33,288,2,515.26,0.1,False,927.468
88,33,2,2,807.37,0.2,False,1291.7920000000001
89,33,61,-1,512.76,0.15,True,-435.846
90,34,184,1,278.4,0.0,False,278.4
91,34,48,2,231.62,0.0,False,463.24
92,35,219,1,211.99,0.1,False,190.79100000000003
93,35,98,2,71.96,0.0,False,143.92
94,36,77,1,103.53,0.1,False,93.177
95,36,261,1,429.63,0.15,False,365.1855
96,37,264,1,16.2,0.0,False,16.2
97,37,33,-1,217.73,0.0,True,-217.73
98,37,199,1,51.0,0.0,False,51.0
99,38,29,1,103.82,0.0,False,103.82
100,38,38,2,364.99,0.0,False,729.98
101,39,211,1,943.9,0.0,False,943.9
102,39,144,1,299.76,0.15,False,254.796
103,39,145,1,61.15,0.0,False,61.15
104,39,72,1,286.08,0.1,False,257.472
105,39,67,1,355.8,0.0,False,355.8
106,40,25,-1,282.92,0.0,True,-282.92
107,40,35,2,425.48,0.0,False,850.96
108,40,269,1,603.81,0.0,False,603.81
109,40,102,1,396.98,0.0,False,396.98
110,41,206,1,612.54,0.0,False,612.54
111,41,6,1,531.19,0.2,False,424.95200000000006
112,41,53,1,192.38,0.0,False,192.38
113,41,113,2,55.28,0.0,False,110.56
114,42,177,1,156.12,0.0,False,156.12
115,42,280,1,121.8,0.0,False,121.8
116,43,203,1,431.09,0.0,False,431.09
117,44,129,2,492.47,0.0,False,984.94
118,44,73,3,346.78,0.05,False,988.3229999999999
119,45,48,2,231.62,0.15,False,393.754
120,45,94,1,514.73,0.0,False,514.73
121,45,215,1,501.1,0.0,False,501.1
122,45,252,2,274.43,0.05,False,521.417
123,46,59,2,287.12,0.0,False,574.24
124,47,231,3,410.59,0.0,False,1231.77
125,47,279,1,226.81,0.0,False,226.81
126,48,255,1,249.2,0.0,False,249.2
127,48,76,2,938.11,0.0,False,1876.22
128,49,179,1,478.65,0.0,False,478.65
129,50,136,1,974.39,0.0,False,974.39
130,50,90,1,219.22,0.0,False,219.22
131,50,204,3,578.66,0.1,False,1562.382
132,50,286,1,47.93,0.1,False,43.137
133,50,221,1,704.75,0.0,False,704.75
134,51,118,1,611.17,0.0,False,611.17
135,51,129,1,492.47,0.0,False,492.47
136,51,173,2,587.7,0.05,False,1116.63
137,52,260,1,619.66,0.1,False,557.694
138,52,226,1,211.98,0.15,False,180.183
139,53,96,1,682.77,0.05,False,648.6315
140,54,273,1,560.24,0.0,False,560.24
141,54,295,3,139.02,0.0,False,417.06000000000006
142,55,20,2,548.49,0.0,False,1096.98
143,56,138,2,54.35,0.05,False,103.265
144,56,200,1,533.81,0.05,False,507.1194999999999
145,57,278,1,402.71,0.05,False,382.57449999999994
146,58,202,1,514.85,0.0,False,514.85
147,58,151,1,625.19,0.0,False,625.19
148,59,114,2,23.97,0.0,False,47.94
149,59,294,3,141.94,0.0,False,425.82
150,59,41,1,376.48,0.15,False,320.008
151,59,173,1,587.7,0.15,False,499.545
152,60,114,2,23.97,0.0,False,47.94
153,60,190,1,707.42,0.1,False,636.678
154,61,251,1,439.11,0.2,False,351.288
155,61,287,1,754.14,0.05,False,716.433
156,61,148,2,304.48,0.0,False,608.96
157,61,62,2,244.7,0.15,False,415.98999999999995
158,61,39,3,412.64,0.0,False,1237.92
159,62,171,1,14.73,0.0,False,14.73
160,62,187,1,127.57,0.0,False,127.57
161,62,233,1,82.49,0.1,False,74.241
162,62,111,1,227.31,0.0,False,227.31
163,63,230,2,829.69,0.0,False,1659.38
164,63,137,3,316.92,0.0,False,950.76
165,63,56,1,186.07,0.1,False,167.463
166,64,63,1,430.39,0.0,False,430.39
167,64,68,2,133.13,0.0,False,266.26
168,65,71,3,362.18,0.0,False,1086.54
169,65,220,1,475.38,0.2,False,380.30400000000003
170,66,144,1,299.76,0.0,False,299.76
171,66,173,1,587.7,0.2,False,470.1600000000001
172,67,187,2,127.57,0.0,False,255.14
173,67,148,1,304.48,0.0,False,304.48
174,68,4,2,17.97,0.0,False,35.94
175,69,122,1,607.34,0.15,False,516.239
176,70,3,1,978.72,0.0,False,978.72
177,71,146,2,443.54,0.0,False,887.08
178,72,226,1,211.98,0.0,False,211.98
179,72,4,1,17.97,0.1,False,16.173
180,73,89,1,247.06,0.1,False,222.354
181,73,69,1,274.11,0.0,False,274.11
182,74,194,1,222.76,0.15,False,189.34599999999998
183,75,238,1,192.17,0.0,False,192.17
184,75,207,1,518.71,0.0,False,518.71
185,75,93,2,98.57,0.0,False,197.14
186,76,80,2,166.05,0.15,False,282.285
187,77,53,1,192.38,0.0,False,192.38
188,78,111,1,227.31,0.1,False,204.579
189,79,89,1,247.06,0.2,False,197.64800000000002
190,80,300,1,133.29,0.0,False,133.29
191,80,74,1,171.2,0.0,False,171.2
192,80,126,2,240.49,0.1,False,432.882
193,81,238,1,192.17,0.15,False,163.34449999999998
194,82,130,1,454.11,0.2,False,363.288
195,83,96,1,682.77,0.0,False,682.77
196,83,170,1,723.66,0.15,False,615.111
197,84,168,1,649.6,0.2,False,519.6800000000001
198,84,266,1,110.99,0.0,False,110.99
199,84,51,1,863.34,0.0,False,863.34
200,85,284,1,228.9,0.1,False,206.01000000000002
201,86,108,1,378.75,0.05,False,359.8125
202,86,264,1,16.2,0.0,False,16.2
203,87,121,3,183.38,0.05,False,522.6329999999999
204,87,294,1,141.94,0.0,False,141.94
205,87,84,3,43.2,0.15,False,110.16000000000001
206,87,48,1,231.62,0.0,False,231.62
207,87,179,1,478.65,0.0,False,478.65
208,88,3,1,978.72,0.2,False,782.9760000000001
209,88,256,1,537.93,0.2,False,430.344
